scenario_id,stage,mape_pct,bias_km_s,rmse_km_s,kf_median_gpa,rho_median_gcc,sw_median,fluid_name
kf_adopted_2p2,gassmann,7.284549,0.271114,0.477009,2.200000,1.030000,1.000000,pvt_default_2p2
kf_adopted_2p2,hybrid_rf,2.778207,0.013530,0.178353,2.200000,1.030000,1.000000,pvt_default_2p2
kf_adopted_2p2,hybrid_lr,2.101628,0.002026,0.135959,2.200000,1.030000,1.000000,pvt_default_2p2
kf_well_median,gassmann,7.283361,0.294745,0.485612,2.825835,1.013200,1.000000,rock_KFluid_median
kf_well_median,hybrid_rf,2.810966,0.016728,0.183885,2.825835,1.013200,1.000000,rock_KFluid_median
kf_well_median,hybrid_lr,2.100676,0.001976,0.135912,2.825835,1.013200,1.000000,rock_KFluid_median
nmr_vrh_z,gassmann,7.634191,0.266444,0.487639,1.400307,0.801761,1.000000,vrh_SWIRR_depth
nmr_vrh_z,hybrid_rf,2.913370,0.016305,0.180822,1.400307,0.801761,1.000000,vrh_SWIRR_depth
nmr_vrh_z,hybrid_lr,2.101587,0.002041,0.135945,1.400307,0.801761,1.000000,vrh_SWIRR_depth
nmr_vrh_median,gassmann,7.615220,0.267144,0.487168,1.400307,0.801761,1.000000,vrh_SWIRR_median
nmr_vrh_median,hybrid_rf,2.924827,0.019883,0.183848,1.400307,0.801761,1.000000,vrh_SWIRR_median
nmr_vrh_median,hybrid_lr,2.102572,0.002081,0.136006,1.400307,0.801761,1.000000,vrh_SWIRR_median
